IssueType,FullPath
DuplicateArtist,D:\Music MP3\Bob Seger & The Silver Bullet Band
DuplicateArtist,D:\Music MP3\Bob Seger & the Silver Bullet Band _
DuplicateArtist,D:\Music MP3\Celine Dion
DuplicateArtist,D:\Music MP3\Céline Dion
DuplicateArtist,D:\Music MP3\Earth Wind & Fire
DuplicateArtist,"D:\Music MP3\Earth, Wind & Fire"
DuplicateArtist,D:\Music MP3\Guns 'n' Roses
DuplicateArtist,D:\Music MP3\Guns N' Roses
DuplicateArtist,D:\Music MP3\Rod Stewart
DuplicateArtist,D:\Music MP3\_Rod Stewart
DuplicateArtist,D:\Music MP3\Run D.M.C_
DuplicateArtist,D:\Music MP3\Run DMC
DuplicateAlbum,D:\Music MP3\a-ha\Angel (single)
DuplicateAlbum,D:\Music MP3\a-ha\Angel Single
DuplicateAlbum,D:\Music MP3\Bad Religion\How Could Hell Be Any Worse
DuplicateAlbum,D:\Music MP3\Bad Religion\How Could Hell Be Any Worse_
DuplicateAlbum,D:\Music MP3\BON JOVI\It's My Life [Maxi Single]
DuplicateAlbum,D:\Music MP3\BON JOVI\Its My Life [Maxi Single]
DuplicateAlbum,D:\Music MP3\Everlast\Love War And The Ghost Of Whitey Ford
DuplicateAlbum,"D:\Music MP3\Everlast\Love, War and the Ghost of Whitey Ford"
DuplicateAlbum,D:\Music MP3\Janis Joplin\Blow All My Blues Away 9CDs (1962-1968)
DuplicateAlbum,D:\Music MP3\Janis Joplin\_Blow All My Blues Away 9CDs (1962-1968)
DuplicateAlbum,D:\Music MP3\Jethro Tull\'A'
DuplicateAlbum,D:\Music MP3\Jethro Tull\A
DuplicateAlbum,D:\Music MP3\Jethro Tull\_A_
DuplicateAlbum,D:\Music MP3\Leo Moracchioli\Metal Covers Volume 5
DuplicateAlbum,D:\Music MP3\Leo Moracchioli\_Metal Covers Volume 5
DuplicateAlbum,D:\Music MP3\Leo Moracchioli\Metal Covers Volume 7
DuplicateAlbum,D:\Music MP3\Leo Moracchioli\_Metal Covers Volume 7
DuplicateAlbum,D:\Music MP3\Leo Moracchioli\Metal Covers Volume 8
DuplicateAlbum,D:\Music MP3\Leo Moracchioli\_Metal Covers Volume 8
DuplicateAlbum,D:\Music MP3\Leo Moracchioli\Metal Covers Volume 9
DuplicateAlbum,D:\Music MP3\Leo Moracchioli\_Metal Covers Volume 9
DuplicateAlbum,"D:\Music MP3\Leo Moracchioli\Metal Covers, Vol. 14"
DuplicateAlbum,"D:\Music MP3\Leo Moracchioli\_Metal Covers, Vol. 14"
DuplicateAlbum,D:\Music MP3\Puscifer\V Is for Vagina
DuplicateAlbum,D:\Music MP3\Puscifer\_V_ Is For Vagina
DuplicateAlbum,D:\Music MP3\Rod Stewart\Atlantic Crossing
DuplicateAlbum,D:\Music MP3\_Rod Stewart\Atlantic Crossing
DuplicateAlbum,D:\Music MP3\Stevie Wonder\Song Review - A Greatest Hits Collection
DuplicateAlbum,D:\Music MP3\Stevie Wonder\Song Review_ A Greatest Hits Collection
DuplicateAlbum,D:\Music MP3\Sting\All This Time
DuplicateAlbum,D:\Music MP3\Sting\_..All This Time
DuplicateAlbum,D:\Music MP3\Talking Heads\Talking Heads '77
DuplicateAlbum,D:\Music MP3\Talking Heads\Talking Heads_ 77
